,Date,Dead,Injured,Location and description
0,January 1,6,67,"Guwahati, India. A serial blast kills 5 civilians and injures 67 in the city of Guwahati. Police believe the United Liberation Front of Assam are responsible for the attacks.[1]"
1,January 1,4,16,"Bajaur Agency, Pakistan. Militants fired rockets at a civil colony in the Bajaur Agency town of Khar killing four people and injuring 16 others. The attackers were able to get away before police and army officials caught them.[2]"
2,January 2,23,72,"Baghdad, Iraq. A relative of a Sunni tribal Sheikh blew himself up at a Sunni gathering south of Baghdad killing 23 people and wounding 72 others, including many of his relatives.[3]"
3,January 2,4,37,"Colombo, Sri Lanka. Hours after the capture of the Tamil Tigers capital in northern Sri Lanka, a suicide bomber in Colombo struck killing three security officers and himself and wounding an additional 37 others.[4]"
4,January 2,0,25,"Melitopol, Ukraine. A bomb exploded inside a bank injuring 25 people in the town of Melitopol. The bank and other buildings were damaged in the blast the bomber is unknown.[5]"
5,January 3,0,3,"Colombo, Sri Lanka. A bomb blast outside a mosque in Colombo injured three people.[6]"
6,January 4,35,79,"Baghdad, Iraq. A suicide bomb blast at a Shiite religious shrine in Baghdad killed at least 35 people and injured 79.[7]"
7,January 4,7,28,"Dera Ismail Khan, Pakistan. Police officers investigating ""explosives"" in the North-West town of Dera Ismail Khan were attacked by a teenage suicide bomber resulting in the deaths of 7 people and the injuring of another 28. Five policemen are among the dead.[8]"
8,January 8,1,2,"Balochistan, Pakistan. One person was killed and two others injured in a bomb incident. The bomb had been placed on a sitting motorcycle and there is no information on who committed the act.[9]"
9,January 9,12,20,"Nimroz, Afghanistan. A car bomb in a market place killed 10 civilians and two Afghan police officers and injured at least 20 others.[10]"
10,January 11,3,0,"Southern Thailand, Thailand. Suspected Islamic insurgents in Thailand southern provinces shot and killed two Buddhist men and a Muslim woman as they headed to work at a rubber plantation.[11]"
11,January 12,9,18,"Baghdad, Iraq. Three explosions in a market, at a checkpoint and a military patrol resulted in the deaths of at least 9 Iraqis and the injuring of 18 others.[12]"
12,January 14,1,15,"Sui, Pakistan. A remote control triggered explosive detonated in Sui province killing one man and injuring 15 others including ten Pakistani soldiers.[13]"
13,January 15,6,2,"Bardhere Town, Somalia. A remote controlled landmine detonated killing 3 militiamen. 2 civilians were killed along with 2 wounded in an attack blamed on Islamist rebels. while injuring two more civilians in an attack by Al-shabab militants.[14]"
14,January 17,0,0,"Hernani, Spain. A blast went off at a television station in Hernani causing damage but no injuries. ETA is blamed for the attack.[15]"
15,January 17,6,19,"Kabul, Afghanistan. A suicide car bomber killed one US soldier, four civilians and wounded nineteen others.[16]"
16,January 18,5,20,"Qaiyara, Iraq. A Sunni political leader was killed along with four other people and at least 20 other people were wounded in a suicide bombing in the northern community of Qaiyara.[17]"
17,January 18,0,4,"Herat, Afghanistan. A bridge was blown up by Taliban insurgents wounding four Afghan civilians as foreign troops were apparently going over the bridge. No foreign fatalities or injuries reported.[18]"
18,January 20,2,2,"Kabul, Afghanistan. A bicycle bomb exploded killing two Afghan police officers and wounding two.[19]"
19,January 21,4,10,"Baghdad, Iraq. Ziyad al-Ain, a dean of Baghdad's Islamic University and the Iraqi Under-secretary for the Education Ministry, Ammar Aziz Mohammed Ali, survived a car bomb but four others including a woman and a child were killed and ten others injured.[20]"
20,January 24,0,0,"Kosovska Mitrovica, Serbia. Two explosions, with no injured, happened during the night in Tri solitera suburb.[21]"
21,January 24,14,30,"Mogadishu, Somalia. A car bomb exploded in Mogadishu killing 15 civilians and 1 Somali policemen. The bomb was meant for AU peacekeepers but policemen noticed the suspicious vehicle and fired several shots at the driver resulting in the vehicle crashing short of its target and exploding. At least 30 others were wounded.[22]"
22,January 24,6,13,"Jarma, Iraq. A suicide bomber drove a car loaded with explosives into a checkpoint killing 5 police officers and injuring 13.[23]"
23,January 24,0,0,"Kidapawan City, Philippines. Two men tossed a grenade into a church grounds causing damage from the explosion. No injuries or deaths were reported.[24]"
24,January 26,2,6,"Katahariya village, Nepal. A bomb hanging from a tree at the Katahariya village local market exploded killing one person and injuring two other people seriously. The Tarai Army has claimed responsibility for the blast.[25]"
25,January 27,0,0,"Corsica, France. Rocket attack against a police station.[26]"
26,January 28,2,4,"Bogotá, Colombia. An explosion in a two-story building in Bogotá has killed 2 people and injured at least four others.[27]"
27,January 30,0,10,"Davao City, Philippines. Communist rebels set off a landmine by a military convoy in Davao City and then attacked a police station with gunfire, injuring 10 people.[28]"
28,February 1,1,3,"Kabul, Afghanistan. Insurgents attacked a NATO convoy in Kabul with a suicide bomber resulting in the injuring of two Afghan civilians and a French soldier and the death of the insurgent attacker.[29]"
29,February 2,22,8,"Tirin Kot, Uruzgan Province, Afghanistan. A suicide bomber in a police uniform in the Southern Afghan province detonated an explosive belt killing himself and 21 other Afghan police recruits and injured 8 others.[30]"
30,February 3,4,24,"Colombo, Sri Lanka. Rebels detonated a bomb on a bus carrying Sri Lankan soldiers in the capital of Colombo killing four people and injuring twenty-four others as the military continues its offensive in northern Sri Lanka against Tamil rebels.[31]"
31,February 4,1,4,"Baghdad, Iraq. A bombing occurred in western Baghdad killing the son of an Iraqi Sunni Awakening Council member and injuring four other people.[32]"
32,February 5,15,15,"Khaniqin, Diyala Province, Iraq. A bombing occurred in a restaurant killing fifteen people and injuring fifteen others in Diyala province bordering the Kurdish Autonomous Zone.[33]"
33,February 8,2,11,"Baghdad, Iraq. A roadside bomb exploded targeting Shiite pilgrims in northern Baghdad killing two and injuring at least eleven others.[34]"
34,February 8,1,14,"Baghdad, Iraq. An IED exploded in eastern Baghdad after the bombing targeting Shiite pilgrims killing one civilian and injuring fourteen others.[35]"
35,February 9,30,90,"Vishvamadu, Sri Lanka. A female suicide bomber from the LTTE Black Tigers detonated her explosives in a crowd of soldiers and fleeing refugees in northern Sri Lanka as an attempt to cow people into not leaving rebel-held areas of Sri Lanka. Twenty-eight people including eight civilians were reportedly killed and at least ninety others wounded.[36][37]"
36,February 9,0,0,"Madrid, Spain. A van carried with 100 kg of explosive exploded near the offices of construction company Ferrovial and the blast is being blamed on ETA rebels in the Basque Country after two political parties connected to ETA were banned from upcoming regional elections. No one was hurt or killed in the blast.[38]"
37,February 9,6,3,"Mosul, Iraq. A suicide attacker detonated his explosives by a police check-point killing four American soldiers, their Iraqi translator and injuring two police officers and one civilian.[39]"
38,February 11,16,43,"Baghdad, Iraq. Two suicide car bombers detonated explosives in SW Baghdad in car lots killing at least 16 people and injuring 43 others.[40]"
39,February 11,28,57,"Kabul, Afghanistan. Twenty people were killed along with eight Taliban attackers in Kabul as the insurgents targeted a prison and the nearby Interior ministry. Afghan forces and plain-clothed CIA operatives were able to get control of the situation.[41]"
40,February 12,4,3,"Mosul, Iraq. A car bomb killed four people and injured three in Mosul, Northern Iraq.[42]"
41,February 12,3,1,"Pattani Province, Thailand. A roadside bomb exploded in the Pattani province targeting a police car after it had just completed escorting educators to a school in the insurgent-hit south. Three policemen died and a fourth was critically injured.[43]"
42,February 13,7,1,"Foum Al-Metleg, Algeria. A bomb targeting a civilian mini-van detonated killing all four occupants including a child and a second blast detonated when rescue workers arrived killing two police officers and one firefighter. One other police officer was seriously wounded.[44]"
43,February 13,35,65,"Karbala, Iraq. A female suicide bomber attacked a procession of Shia pilgrims — many of them women and children — south of Baghdad on Friday, killing 35 people and injuring 65 others, officials said. It was the third straight day of deadly bombings against Shia pilgrims.[45]"
44,February 13,0,3,"Baghdad, Iraq. An insurgent in eastern Baghdad tossed a grenade at Iraqi forces injuring three police officers in the blast.[46]"
45,February 14,0,5,"Kandahar, Afghanistan. An improvised explosive device (IED) hit a Canadian military convoy in Afghanistan in Kandahar City leaving four Canadian soldiers and one Afghan interpreter injured. Canadian forces exchanged gunfire with insurgents after the explosion.[47]"
46,February 14,1,13,"Puliyankulam, Sri Lanka. LTTE rebels tossed a hand grenade into a bus packed with refugees in Northern Sri Lanka killing one civilian and injuring 13 other people.[48]"
47,February 15,0,5,"Maitum, Philippines. An improvised explosive device detonated in front of a government building housing a gymnasium injuring five people.[49]"
48,February 18,0,0,"Athens, Greece. Two gunmen fired 13 shots into a private T.V studio's compound and tossed in an explosive device before fleeing on two sport motorcycles. No one was hurt or killed in the incident and the bomb failed to explode.[50]"
49,February 18,0,0,"Zahedan, Iran. One male attempted to detonated an explosive device inside a mosque in the central city of Zahedan. However he was refused entrance and he headed to a nearby kitchen and placed the explosives down where it detonated. Minor damage was reported but no casualties.[51]"
50,February 19,4,2,"Balad Ruz, Iraq. Four Iraqi soldiers were killed and two were injured when a roadside bomb exploded in the restive province of Diyala on Thursday, a senior police officer told AFP. The attack took place in Balad Ruz, a town 70 kilometers (43 mi) northeast of Baghdad, said the officer, who asked not to be named.[52]"
51,February 20,27,65,"Dera Ismail Khan, Pakistan. A bombing occurred at a Shiite funeral possession that killed 27 people and injured at least 65 other people.[53]"
52,February 20,3,2,"Baghdad, Iraq. A woman and two children were killed in one explosion and two police officers were wounded in a secondary explosion targeting emergency services.[54]"
53,February 20,4,50+,"Colombo, Sri Lanka. Two Tamil Tigers aircraft packed with C4 explosives en route to the national airforce headquarters were shot down by the Sri Lankan military before reaching their target. 4 people including the two pilots were killed while over 50 were injured.[55]"
54,February 22,0,0,"Barakaldo, Spain. A bomb detonated in Basque Country. No injuries were reported.[56]"
55,February 22,1,22,"Khan el-Khalili, Egypt. A bomb detonated in an area of coffee shops near Al Hussein Mosque, killing a French tourists. 17 French nationals, 3 Saudis, and 3 Egyptians were wounded.[57]"
56,February 22,13,15,"Mogadishu, Somalia. Two Al Shabeeb militants in a car detonated a bomb in an AU base, killing eleven peacekeepers from Burundi and injuring fifteen others.[58]"
57,February 23,0,0,"Lazkao, Spain. A rucksack packed with around 10 kg worth of explosives explodes outside the Basque Socialist Party headquarters in the town after a warning call from ETA. The blast took place at 3:00 am, causing major damage to the local but no injuries were reported.[59]"
