,Date,Dead,Injured,Location and description
0,January 4    ,13,25,"Baghdad, Iraq: Two explosive devices detonated near the Abu Jaafar al-Mansor fuel station in the Mansour neighborhood of west Baghdad, killing thirteen people and wounding twenty-five others. Attacks on gas stations are frequent in Iraq, as militants attempt to disrupt the oil industry. Attacks are also common because gas stations often have long lines of patrons waiting to purchase fuel.[1]"
1,January 4    ,1,1,"Narathiwat, Thailand: Police report that one young man was killed and another injured in a drive-by shooting in the Rusoh district of Narathiwat on Thursday. Police believe that two Islamic insurgents are responsible for the death of the 19-year-old victim. Islamic insurgents in Thailand's south continue to target civilians, educators, police, military, as well as religious and community leaders in drive-by shootings, arson, and bomb attacks aimed at destabilizing society and pressing for independence from Thailand. The current insurgency has been underway since January 2004.[1]"
2,January 5    ,6,30,"Nittambuwa, Sri Lanka: A bus is bombed. The government blames Tamil Tiger, who denies it.[2][3] See 2007 Sri Lankan bus bombs."
3,January 5    ,0,3,"Cotabato, Philippines: Police report that three people were critically injured in a bomb attack against a fast-food chain in the city of Cotabato on Friday. The explosion was caused by two improvised explosive devices made from a 60 millimeter mortar shell that went off during the busy lunch hour. Two other explosives that failed to detonate were later found at the scene. Three people were injured in the attack and two cars were seriously damaged along with restaurant property. Police said that intelligence reports indicated that two leaders of the Moro Islamic Liberation Front had committed the attacks in the name of Jemaah Islamiyah.[4]"
4,January 6,15,24,"Sri Lanka: near the tourist resort of Hikkaduwa: A bus is bombed. The government blames Tamil Tiger, who denies it.[3]"
5,January 6    ,1,3,"Baghdad, Iraq: A bomb targeting the convoy of General Ali al-Yassiri, the head of Baghdad's emergency police, killed a civilian and wounded two policemen and a civilian. Al-Yassiri was not harmed in the blast. Attacks on police are frequent in Iraq.[5]"
6,January 6    ,3,4,"Baghdad, Iraq: A bomb placed at a fuel station in the Doura district of Baghdad killed three people and wounded four others. Attacks on gas stations are frequent in Iraq, as militants attempt to disrupt one of the country's most profitable industries. Gas stations are also often targeted because they have long lines of patrons waiting to purchase fuel.[5]"
7,January 7    ,2,11,"Hillah, Iraq: A car bomb placed in a Hillah market killed two people and wounded eleven others. Attacks on crowded, public areas, particularly markets, are frequent in Iraq and often have sectarian motivations.[6]"
8,January 10,7,27,"General Santos City, Kidapawan City, Cotabato City, Philippines. Three bombs exploded in cities across Mindanao ahead of the ASEAN summit held in Manila, killing a total of 7 and injuring at last 27.[7]The first explosion destroyed a stand selling lottery tickets across the street from a public market in General Santos city. Three people died instantly and another three succumbed to their injuries, with two children among the dead while another 22 were wounded.[7]The second explosion occurred in Kidapawan City, about 65 miles north of General Santos City, as an improvised bomb placed near the fence of a police outpost along the national highway exploded, injuring two male passers-by.[7]The third blast at a dumpsite along a major street in Cotabato City injured up to 5 and appeared to be from an improvised bomb, although it could also have been a grenade.[7]"
9,January 10    ,4 (+1),10,"Tal Afar, Iraq: A suicide bomber detonated his explosives among a group of people outside a police station in Tal Afar, killing himself and four civilians and wounding ten others. Attacks on police are frequent in Iraq. Note, some media sources reported that the attack took place at a market.[8]"
